,filename,label,split
0,aagfhgtpmv.mp4,FAKE,train
1,aapnvogymq.mp4,FAKE,train
2,abarnvbtwb.mp4,REAL,train
3,abofeumbvv.mp4,FAKE,train
4,abqwwspghj.mp4,FAKE,train
5,acifjvzvpm.mp4,FAKE,train
6,acqfdwsrhi.mp4,FAKE,train
7,acxnxvbsxk.mp4,FAKE,train
8,acxwigylke.mp4,FAKE,train
9,aczrgyricp.mp4,FAKE,train
10,adhsbajydo.mp4,FAKE,train
11,adohikbdaz.mp4,FAKE,train
12,adylbeequz.mp4,FAKE,train
13,aelfnikyqj.mp4,REAL,train
14,aelzhcnwgf.mp4,FAKE,train
15,aettqgevhz.mp4,FAKE,train
16,aevrfsexku.mp4,FAKE,train
17,afoovlsmtx.mp4,REAL,train
18,agdkmztvby.mp4,FAKE,train
19,agqphdxmwt.mp4,FAKE,train
20,agrmhtjdlk.mp4,REAL,train
21,ahbweevwpv.mp4,FAKE,train
22,ahdbuwqxit.mp4,FAKE,train
23,ahfazfbntc.mp4,FAKE,train
24,ahqqqilsxt.mp4,REAL,train
25,aipfdnwpoo.mp4,FAKE,train
26,ajqslcypsw.mp4,REAL,train
27,ajwpjhrbcv.mp4,FAKE,train
28,aklqzsddfl.mp4,FAKE,train
29,aknbdpmgua.mp4,FAKE,train
30,aknmpoonls.mp4,FAKE,train
31,akvmwkdyuv.mp4,FAKE,train
32,akxoopqjqz.mp4,FAKE,train
33,akzbnazxtz.mp4,FAKE,train
34,aladcziidp.mp4,FAKE,train
35,alaijyygdv.mp4,FAKE,train
36,alninxcyhg.mp4,FAKE,train
37,altziddtxi.mp4,FAKE,train
38,alvgwypubw.mp4,FAKE,train
39,amaivqofda.mp4,FAKE,train
40,amowujxmzc.mp4,FAKE,train
41,andaxzscny.mp4,FAKE,train
42,aneclqfpbt.mp4,FAKE,train
43,anpuvshzoo.mp4,REAL,train
44,aorjvbyxhw.mp4,FAKE,train
45,apatcsqejh.mp4,FAKE,train
46,apgjqzkoma.mp4,FAKE,train
47,apogckdfrz.mp4,FAKE,train
48,aqpnvjhuzw.mp4,FAKE,train
49,arkroixhey.mp4,FAKE,train
50,arlmiizoob.mp4,FAKE,train
51,arrhsnjqku.mp4,FAKE,train
52,asaxgevnnp.mp4,REAL,train
53,asdpeebotb.mp4,FAKE,train
54,aslsvlvpth.mp4,FAKE,train
55,asmpfjfzif.mp4,FAKE,train
56,asvcrfdpnq.mp4,FAKE,train
57,atkdltyyen.mp4,REAL,train
58,atvmxvwyns.mp4,REAL,train
59,atxvxouljq.mp4,FAKE,train
60,atyntldecu.mp4,FAKE,train
61,atzdznmder.mp4,FAKE,train
62,aufmsmnoye.mp4,FAKE,train
63,augtsuxpzc.mp4,FAKE,train
64,avfitoutyn.mp4,FAKE,train
65,avgiuextiz.mp4,FAKE,train
66,avibnnhwhp.mp4,FAKE,train
67,avmjormvsx.mp4,REAL,train
68,avnqydkqjj.mp4,FAKE,train
69,avssvvsdhz.mp4,FAKE,train
70,avtycwsgyb.mp4,FAKE,train
71,avvdgsennp.mp4,FAKE,train
72,avywawptfc.mp4,FAKE,train
73,awhmfnnjih.mp4,FAKE,train
74,awnwkrqibf.mp4,FAKE,train
75,awukslzjra.mp4,FAKE,train
76,axczxisdtb.mp4,FAKE,train
77,axntxmycwd.mp4,REAL,train
78,axoygtekut.mp4,FAKE,train
79,axwgcsyphv.mp4,FAKE,train
80,axwovszumc.mp4,FAKE,train
81,aybgughjxh.mp4,REAL,train
82,aybumesmpk.mp4,REAL,train
83,ayqvfdhslr.mp4,FAKE,train
84,aytzyidmgs.mp4,REAL,train
85,azpuxunqyo.mp4,FAKE,train
86,azsmewqghg.mp4,FAKE,train
87,bahdpoesir.mp4,FAKE,train
88,bbhpvrmbse.mp4,FAKE,train
89,bbhtdfuqxq.mp4,FAKE,train
90,bbvgxeczei.mp4,FAKE,train
91,bchnbulevv.mp4,FAKE,train
92,bctvsmddgq.mp4,FAKE,train
93,bdbhekrrwo.mp4,FAKE,train
94,bddjdhzfze.mp4,REAL,train
95,bdgipnyobr.mp4,FAKE,train
96,bdnaqemxmr.mp4,REAL,train
97,bdxuhamuqx.mp4,FAKE,train
98,beboztfcme.mp4,REAL,train
99,bejhvclboh.mp4,REAL,train
100,benmsfzfaz.mp4,FAKE,train
101,beyebyhrph.mp4,REAL,train
102,bffwsjxghk.mp4,REAL,train
103,bgaogsjehq.mp4,FAKE,train
104,bggsurpgpr.mp4,FAKE,train
105,bghphrsfxf.mp4,FAKE,train
106,bgmlwsoamc.mp4,FAKE,train
107,bguwlyazau.mp4,FAKE,train
108,bgvhtpzknn.mp4,REAL,train
109,bgwmmujlmc.mp4,REAL,train
110,bhaaboftbc.mp4,FAKE,train
111,bhbdugnurr.mp4,FAKE,train
112,bhpwpydzpo.mp4,FAKE,train
113,bhsluedavd.mp4,FAKE,train
114,bilnggbxgu.mp4,REAL,train
115,bjjbwsqjir.mp4,FAKE,train
116,bjkmjilrxp.mp4,FAKE,train
117,bjsmaqefoi.mp4,FAKE,train
118,bkmdzhfzfh.mp4,FAKE,train
119,bkvetcojbt.mp4,FAKE,train
120,bkwxhglwct.mp4,FAKE,train
121,blpchvmhxx.mp4,FAKE,train
122,blzydqdfem.mp4,FAKE,train
123,bmbbkwmxqj.mp4,FAKE,train
124,bmehkyanbj.mp4,FAKE,train
125,bmhvktyiwp.mp4,FAKE,train
126,bmioepcpsx.mp4,FAKE,train
127,bmjmjmbglm.mp4,FAKE,train
128,bmjzrlszhi.mp4,REAL,train
129,bnbuonyoje.mp4,FAKE,train
130,bndybcqhfr.mp4,FAKE,train
131,bnjcdrfuov.mp4,FAKE,train
132,bntlodcfeg.mp4,FAKE,train
133,bofqajtwve.mp4,FAKE,train
134,boovltmuwi.mp4,FAKE,train
135,bopqhhalml.mp4,FAKE,train
136,bourlmzsio.mp4,FAKE,train
137,bpapbctoao.mp4,REAL,train
138,bpwzipqtxf.mp4,FAKE,train
139,bpxckdzddv.mp4,FAKE,train
140,bqdjzqhcft.mp4,FAKE,train
141,bqeiblbxtl.mp4,FAKE,train
142,bqhtpqmmqp.mp4,FAKE,train
143,bqkdbcqjvb.mp4,FAKE,train
144,bqnymlsayl.mp4,FAKE,train
145,bqqpbzjgup.mp4,FAKE,train
